,Order Number,Order Date,Item Name,Quantity,Product Price,Total products
0,16118,03/08/2019 20:25,Plain Papadum,2,0.8,6
1,16118,03/08/2019 20:25,Mushroom Rice,1,3.95,6
2,16117,03/08/2019 20:17,Plain Naan,1,2.6,7
3,16117,03/08/2019 20:17,Chapati,1,1.95,7
4,16117,03/08/2019 20:17,Lamb Tikka,1,4.95,7
5,16116,03/08/2019 20:09,Lamb Biryani,1,9.95,5
6,16113,03/08/2019 19:42,Plain Papadum,1,0.8,5
7,16112,03/08/2019 19:41,Tandoori Chicken Masala,1,8.95,4
8,16111,03/08/2019 19:29,Pilau Rice,1,2.95,4
9,16111,03/08/2019 19:29,Lamb Tikka Chilli Masala,1,8.95,4
10,16111,03/08/2019 19:29,Peshwari Naan,1,2.95,4
11,16111,03/08/2019 19:29,Saag Aloo,1,5.95,4
12,16110,03/08/2019 19:28,Aloo Gobi,1,5.95,8
13,16110,03/08/2019 19:28,Bhindi Bhajee,1,5.95,8
14,16110,03/08/2019 19:28,Mint Sauce,2,0.5,8
15,16109,03/08/2019 19:26,Red Sauce,2,0.5,7
16,16109,03/08/2019 19:26,Bombay Aloo,1,5.95,7
17,16108,03/08/2019 19:25,Mint Sauce,2,0.5,15
18,16108,03/08/2019 19:25,Keema Naan,2,2.95,15
19,16108,03/08/2019 19:25,Chicken Biryani,1,9.95,15
20,16108,03/08/2019 19:25,Mushroom Rice,1,3.95,15
21,16106,03/08/2019 18:37,Chicken Tikka Masala,1,8.95,3
22,16105,03/08/2019 18:36,Mint Sauce,1,0.5,9
23,16105,03/08/2019 18:36,Keema Naan,1,2.95,9
24,16104,03/08/2019 18:36,Curry - Chicken,1,7.95,4
25,16102,03/08/2019 18:32,Chicken Tikka Biryani,1,10.95,4
26,16101,03/08/2019 18:12,Keema Rice,1,3.95,3
27,16100,03/08/2019 18:00,Masala Sauce,1,3.95,9
28,16100,03/08/2019 18:00,Tandoori Mixed Grill,2,11.95,9
29,16099,03/08/2019 17:58,Pathia - Prawn,1,9.95,5
30,16099,03/08/2019 17:58,Plain Papadum,1,0.8,5
31,16098,03/08/2019 17:57,Chicken Tikka Jalfrezi,1,8.95,6
32,16098,03/08/2019 17:57,Bhuna - Lamb,1,8.95,6
33,16097,03/08/2019 17:52,Pilau Rice,1,2.95,9
34,16097,03/08/2019 17:52,Spicy Papadum,1,0.8,9
35,16094,02/08/2019 20:23,Lamb Tikka,1,4.95,9
36,16094,02/08/2019 20:23,Saag Paneer,1,5.95,9
